CRN,SUBJ,CRSE,TITLE,DAYS,START TIME,END TIME,BLDG,ROOM,INSTRUCTOR,START DATE,END DATE,WEEKS,SEATS LEFT,STATUS
57807,ACCT,116B,MANAGERIAL ACCOUNTING,TTH,10:00 AM,11:50 AM,MIRA,M106,"VOYLES, A",8/19/2013,12/16/2013,16,0,ADD CODE REQUIRED
93573,ACCT,116B,MANAGERIAL ACCOUNTING,W,5:30 PM,9:10 PM,MIRA,M106,"SCHILDHOUSE, R",10/14/2013,12/16/2013,8,9,OPEN
93573,ACCT,116B,MANAGERIAL ACCOUNTING,TBA,0:00,0:00,MIRA,WEB,,10/14/2013,12/16/2013,8,9,OPEN
75349,ACCT,120,FEDERAL INCOME TAX,TH,6:35 PM,9:45 PM,MIRA,M106,STAFF,8/19/2013,12/16/2013,16,45,CANCELLED
42908,ACCT,120,FEDERAL INCOME TAX,TH,6:55 PM,10:05 PM,MIRA,M106,"DENNIS, K",8/19/2013,12/16/2013,16,17,ADD CODE REQUIRED
42913,ACCT,121,CALIFORNIA INCOME TAX,TH,5:45 PM,6:45 PM,MIRA,M106,STAFF,8/19/2013,12/16/2013,16,0,CANCELLED
69960,ACCT,150,COMPUTER ACCT. APPLICATIONS,TBA,0:00,0:00,MIRA,WEB,"NOBLE, S",8/19/2013,12/16/2013,16,0,ADD CODE REQUIRED
74379,ACCT,201A,INTERMEDIATE ACCOUNTING I,T,6:35 PM,9:45 PM,MIRA,M106,STAFF,8/19/2013,12/16/2013,16,45,CANCELLED
55382,ADJU,101,INTRO TO ADMIN OF JUSTICE,TBA,0:00,0:00,MIRA,WEB,"OMENS, J",8/19/2013,12/16/2013,16,0,ADD CODE REQUIRED
92406,ADJU,101,INTRO TO ADMIN OF JUSTICE,M,1:15 PM,4:25 PM,MIRA,A223,"OMENS, J",8/19/2013,12/16/2013,16,0,ADD CODE REQUIRED
92392,ADJU,101,INTRO TO ADMIN OF JUSTICE,TH,6:35 PM,9:45 PM,MIRA,A223,"KYRES, D",8/19/2013,12/16/2013,16,0,ADD CODE REQUIRED
55398,ADJU,102,CRIMINAL LAW I,TBA,0:00,0:00,MIRA,WEB,"OMENS, J",8/19/2013,12/16/2013,16,0,ADD CODE REQUIRED
83429,ADJU,102,CRIMINAL LAW I,T,1:15 PM,4:25 PM,MIRA,A223,"LICKISS, W",8/19/2013,12/16/2013,16,0,ADD CODE REQUIRED
83430,ADJU,102,CRIMINAL LAW I,T,6:35 PM,9:45 PM,MIRA,A223,"LICKISS, W",8/19/2013,12/16/2013,16,0,ADD CODE REQUIRED
57136,ADJU,106,DIVERSITY & COMMUNITY RELATS,TBA,0:00,0:00,MIRA,WEB,"OMENS, J",8/19/2013,12/16/2013,16,0,ADD CODE REQUIRED
75751,ADJU,147,PHYSICAL CONDITIONING,M,9:35 AM,12:45 PM,MIRA,A203,"HILDEBRAND, K",8/19/2013,12/16/2013,16,24,ADD CODE REQUIRED
43254,ADJU,148,DEFENSIVE TACTICS,W,9:35 AM,12:45 PM,MIRA,A111,"OMENS, J",8/19/2013,12/16/2013,16,20,ADD CODE REQUIRED
62321,ADJU,148,DEFENSIVE TACTICS,W,9:35 AM,12:45 PM,MIRA,A111,"OMENS, J",8/19/2013,12/16/2013,16,35,CANCELLED
57211,ADJU,149,FIREARMS,S,9:00 AM,12:10 PM,SDPDP,RANGE,"LICKISS, W",8/19/2013,12/16/2013,16,2,ADD CODE REQUIRED
43144,ADJU,149,FIREARMS,W,6:35 PM,9:45 PM,SDPDP,CLSRM,"SOETEN, J",8/19/2013,12/16/2013,16,20,ADD CODE REQUIRED
52264,ADJU,149,FIREARMS,TH,6:35 PM,9:45 PM,SDPDP,RANGE,"SOETEN, J",8/19/2013,12/16/2013,16,2,CANCELLED
82043,ADJU,160,CRIMINAL LAW II,W,6:35 PM,9:45 PM,MIRA,A223,"LICKISS, W",8/19/2013,12/16/2013,16,0,ADD CODE REQUIRED
57787,ADJU,161,JUVENILE PROCEDURES,TBA,0:00,0:00,MIRA,WEB,"FERGUSON, R",8/19/2013,12/16/2013,16,0,ADD CODE REQUIRED
70680,ADJU,161,JUVENILE PROCEDURES,T,6:35 PM,9:45 PM,MIRA,A220,"MORABE, M",8/19/2013,12/16/2013,16,0,ADD CODE REQUIRED
61153,ADJU,162,CRIMINAL INVESTIGATION,TBA,0:00,0:00,MIRA,WEB,"MEHLHOFF, D",8/19/2013,12/16/2013,16,0,ADD CODE REQUIRED
62368,ADJU,167,REPORT WRITING,W,6:35 PM,9:45 PM,MIRA,A221,"MENSIOR, K",8/19/2013,12/16/2013,16,5,ADD CODE REQUIRED
70699,ADJU,180,DRUG ABUSE AND LAW ENFORCEMENT,TBA,0:00,0:00,MIRA,WEB,"FERGUSON, R",8/19/2013,12/16/2013,16,0,ADD CODE REQUIRED
57279,ADJU,201,CALIFORNIA CRIMINAL PROCEDURE,TBA,0:00,0:00,MIRA,WEB,"MEHLHOFF, D",8/19/2013,12/16/2013,16,0,ADD CODE REQUIRED
75825,ADJU,201,CALIFORNIA CRIMINAL PROCEDURE,TH,6:35 PM,9:45 PM,MIRA,A220,"MENSIOR, K",8/19/2013,12/16/2013,16,0,ADD CODE REQUIRED
57147,ADJU,210,RULES OF EVIDENCE,TBA,0:00,0:00,MIRA,WEB,"FERGUSON, R",10/14/2013,12/16/2013,8,0,CLOSED
70708,ADJU,220,LAW ENFORCEMENT FORENSICS,TH,6:35 PM,9:45 PM,MIRA,A221,"WORTHINGTON, M",8/19/2013,12/16/2013,16,0,ADD CODE REQUIRED
70713,ADJU,230,CONSTITUTIONAL LAW I,M,6:35 PM,9:45 PM,MIRA,A221,"PINCKARD, R",8/19/2013,12/16/2013,16,7,ADD CODE REQUIRED
43435,ADJU,300,FIRST AID,M,7:00 AM,3:30 PM,MIRA,CLSRM,"GILMORE, D",11/4/2013,11/4/2013,1,25,OPEN
43371,ADJU,300,FIRST AID,T,7:00 AM,3:30 PM,MIRA,CLSRM,"GILMORE, D",8/13/2013,8/13/2013,1,0,PAST ADD DATE
43419,ADJU,300,FIRST AID,T,7:00 AM,3:30 PM,MIRA,CLSRM,"GILMORE, D",10/8/2013,10/8/2013,1,25,OPEN
43464,ADJU,300,FIRST AID,T,7:00 AM,3:30 PM,MIRA,CLSRM,"GILMORE, D",12/3/2013,12/3/2013,1,25,OPEN
43385,ADJU,300,FIRST AID,W,7:00 AM,3:30 PM,,,"GILMORE, D",8/21/2013,8/21/2013,1,0,PAST ADD DATE
43422,ADJU,300,FIRST AID,W,7:00 AM,3:30 PM,MIRA,CLSRM,"GILMORE, D",10/16/2013,10/16/2013,1,25,OPEN
43392,ADJU,300,FIRST AID,TH,7:00 AM,3:30 PM,MIRA,CLSRM,"GILMORE, D",9/12/2013,9/12/2013,1,25,OPEN
43406,ADJU,300,FIRST AID,TH,7:00 AM,3:30 PM,MIRA,CLSRM,"GILMORE, D",9/26/2013,9/26/2013,1,25,OPEN
43441,ADJU,300,FIRST AID,TH,7:00 AM,3:30 PM,MIRA,CLSRM,"GILMORE, D",11/7/2013,11/7/2013,1,25,OPEN
43453,ADJU,300,FIRST AID,F,7:00 AM,3:30 PM,MIRA,CLSRM,"GILMORE, D",11/22/2013,11/22/2013,1,25,OPEN
43470,ADJU,300,FIRST AID,F,7:00 AM,3:30 PM,MIRA,CLSRM,"GILMORE, D",12/13/2013,12/13/2013,1,25,OPEN
43917,ADJU,312,BASIC SUPERVISORY COURSE,MTWTHF,7:00 AM,3:30 PM,MIRA,CLSRM,"GILMORE, D",10/14/2013,10/25/2013,2,25,OPEN
43272,ADJU,323,34TH DETENTION/COURT SERV ACAC,MTWTHF,7:00 AM,3:30 PM,MIRA,A225,"GILMORE, D",9/20/2013,1/9/2014,15,40,OPEN
43887,ADJU,330,P.O.S.T. CERT FIELD TRAIN OFFI,MTWTHF,7:00 AM,3:30 PM,MIRA,CLSRM,"GILMORE, D",9/16/2013,9/20/2013,1,25,OPEN
43893,ADJU,330,P.O.S.T. CERT FIELD TRAIN OFFI,MTWTHF,7:00 AM,3:30 PM,MIRA,CLSRM,"GILMORE, D",12/16/2013,12/20/2013,1,25,OPEN
43263,ADJU,356A,832 PC LAWS OF ARREST,TWTHFS,8:00 AM,5:00 PM,MIRA,A106,"OMENS, J",9/3/2013,9/7/2013,1,0,CLOSED MAY WAITLIST
43902,ADJU,359,FIELD TRAINING OFFICER UPDATE,MTW,7:00 AM,3:30 PM,MIRA,CLSRM,"GILMORE, D",10/28/2013,10/30/2013,1,25,OPEN
43750,ADJU,361R,REGIONAL OFFICER TRAINING,MTWTH,7:00 AM,5:30 PM,MIRA,CLSRM,"GILMORE, D",9/9/2013,9/12/2013,1,25,OPEN
43768,ADJU,361R,REGIONAL OFFICER TRAINING,MTWTH,7:00 AM,5:30 PM,MIRA,CLSRM,"GILMORE, D",9/16/2013,9/19/2013,1,25,OPEN
43773,ADJU,361R,REGIONAL OFFICER TRAINING,MTWTH,7:00 AM,5:30 PM,MIRA,CLSRM,"GILMORE, D",9/23/2013,9/26/2013,1,25,OPEN
43784,ADJU,361R,REGIONAL OFFICER TRAINING,MTWTH,7:00 AM,5:30 PM,MIRA,CLSRM,"GILMORE, D",9/30/2013,10/3/2013,1,25,OPEN
43796,ADJU,361R,REGIONAL OFFICER TRAINING,MTWTH,7:00 AM,5:30 PM,MIRA,CLSRM,"GILMORE, D",10/7/2013,10/10/2013,1,25,OPEN
43804,ADJU,361R,REGIONAL OFFICER TRAINING,MTWTH,7:00 AM,5:30 PM,MIRA,CLSRM,"GILMORE, D",10/14/2013,10/17/2013,1,25,OPEN
43810,ADJU,361R,REGIONAL OFFICER TRAINING,MTWTH,7:00 AM,5:30 PM,MIRA,CLSRM,"GILMORE, D",10/21/2013,10/24/2013,1,25,OPEN
43828,ADJU,361R,REGIONAL OFFICER TRAINING,MTWTH,7:00 AM,5:30 PM,MIRA,CLSRM,"GILMORE, D",10/28/2013,10/31/2013,1,25,OPEN
43832,ADJU,361R,REGIONAL OFFICER TRAINING,MTWTH,7:00 AM,5:30 PM,MIRA,CLSRM,"GILMORE, D",11/4/2013,11/7/2013,1,25,OPEN
43849,ADJU,361R,REGIONAL OFFICER TRAINING,MTWTH,7:00 AM,5:30 PM,MIRA,CLSRM,"GILMORE, D",11/18/2013,11/21/2013,1,25,OPEN
43855,ADJU,361R,REGIONAL OFFICER TRAINING,MTWTH,7:00 AM,5:30 PM,MIRA,CLSRM,"GILMORE, D",12/2/2013,12/5/2013,1,25,OPEN
43861,ADJU,361R,REGIONAL OFFICER TRAINING,MTWTH,7:00 AM,5:30 PM,MIRA,CLSRM,"GILMORE, D",12/16/2013,12/19/2013,1,25,OPEN
43876,ADJU,361R,REGIONAL OFFICER TRAINING,MTWTH,7:00 AM,5:30 PM,MIRA,CLSRM,"GILMORE, D",12/9/2013,12/12/2013,1,25,OPEN
43575,ADJU,361S,CPT FOR SHERIFF DEPUTIES,MTW,7:00 AM,3:30 PM,MIRA,CLSRM,STAFF,8/5/2013,8/7/2013,1,25,CANCELLED
43608,ADJU,361S,CPT FOR SHERIFF DEPUTIES,MTW,7:00 AM,3:30 PM,MIRA,CLSRM,"GILMORE, D",10/7/2013,10/9/2013,1,25,OPEN
43631,ADJU,361S,CPT FOR SHERIFF DEPUTIES,MTW,7:00 AM,3:30 PM,MIRA,CLSRM,"GILMORE, D",11/18/2013,11/20/2013,1,25,OPEN
43645,ADJU,361S,CPT FOR SHERIFF DEPUTIES,MTW,7:00 AM,3:30 PM,MIRA,CLSRM,"GILMORE, D",12/2/2013,12/4/2013,1,25,OPEN
43581,ADJU,361S,CPT FOR SHERIFF DEPUTIES,WTHF,7:00 AM,3:30 PM,MIRA,CLSRM,"GILMORE, D",8/21/2013,8/23/2013,1,25,PAST ADD DATE
43594,ADJU,361S,CPT FOR SHERIFF DEPUTIES,WTHF,7:00 AM,3:30 PM,MIRA,CLSRM,"GILMORE, D",8/28/2013,8/30/2013,1,25,PAST ADD DATE
43613,ADJU,361S,CPT FOR SHERIFF DEPUTIES,WTHF,7:00 AM,3:30 PM,MIRA,CLSRM,"GILMORE, D",10/23/2013,10/25/2013,1,25,OPEN
43624,ADJU,361S,CPT FOR SHERIFF DEPUTIES,WTHF,7:00 AM,3:30 PM,MIRA,CLSRM,"GILMORE, D",11/6/2013,11/8/2013,1,25,OPEN
43659,ADJU,361S,CPT FOR SHERIFF DEPUTIES,WTHF,7:00 AM,3:30 PM,MIRA,CLSRM,"GILMORE, D",12/11/2013,12/13/2013,1,25,OPEN
43951,ADJU,379,AICC,TWTH,7:00 AM,3:30 PM,MIRA,CLSRM,"GILMORE, D",9/3/2013,9/12/2013,2,25,OPEN
43179,ADJU,381,97TH REGIONAL ACADEMY - MOD I,MTWTHF,7:00 AM,3:30 PM,MIRA,A227,"GILMORE, D",8/19/2013,12/5/2013,15,21,ADD CODE REQUIRED
99789,ADJU,382,96ST REGIONAL ACADEMY - MOD II,MTWTHF,7:00 AM,3:30 PM,MIRA,A229,"GILMORE, D",8/22/2013,9/16/2013,5,18,PAST ADD DATE
43182,ADJU,382,97TH REGIONAL ACADEMY - MOD II,MTWTHF,7:00 AM,3:30 PM,MIRA,A227,"GILMORE, D",12/6/2013,12/31/2013,4,28,OPEN
99791,ADJU,383,96ST REGIONAL ACAD - MOD III,MTWTHF,7:00 AM,3:30 PM,MIRA,A229,"GILMORE, D",9/17/2013,9/27/2013,2,18,OPEN
40884,ANTH,102,INTRO TO PHYSICAL ANTHROPOLOGY,TBA,0:00,0:00,MIRA,WEB,"WILLOWS, M",8/19/2013,12/16/2013,16,0,ADD CODE REQUIRED
53625,ANTH,102,INTRO TO PHYSICAL ANTHROPOLOGY,TBA,0:00,0:00,MIRA,WEB,"GONZALEZ, L",8/19/2013,12/16/2013,16,0,ADD CODE REQUIRED
59628,ANTH,102,INTRO TO PHYSICAL ANTHROPOLOGY,TBA,0:00,0:00,MIRA,WEB,"GONZALEZ, L",8/19/2013,12/16/2013,16,0,ADD CODE REQUIRED
82078,ANTH,102,INTRO TO PHYSICAL ANTHROPOLOGY,TTH,11:10 AM,12:35 PM,MIRA,H206,"GONZALEZ, L",8/19/2013,12/16/2013,16,0,ADD CODE REQUIRED
40896,ANTH,102,INTRO TO PHYSICAL ANTHROPOLOGY,M,6:35 PM,9:45 PM,MIRA,H206,"MCKENDRICKS, B",8/19/2013,12/16/2013,16,0,ADD CODE REQUIRED
59632,ANTH,103,INTRO TO CULTURAL ANTHROPOLOGY,TBA,0:00,0:00,MIRA,WEB,"GONZALEZ, L",8/19/2013,12/16/2013,16,0,ADD CODE REQUIRED
82770,ANTH,103,INTRO TO CULTURAL ANTHROPOLOGY,MW,11:10 AM,12:35 PM,MIRA,H206,"GONZALEZ, L",8/19/2013,12/16/2013,16,0,ADD CODE REQUIRED
40914,ANTH,103,INTRO TO CULTURAL ANTHROPOLOGY,MW,5:00 PM,8:10 PM,MCASM,5305,"HENNINGER, S",10/14/2013,12/16/2013,8,0,CLOSED MAY WAITLIST
82741,ANTH,103,INTRO TO CULTURAL ANTHROPOLOGY,T,6:35 PM,9:45 PM,MIRA,H206,"HENNINGER, S",8/19/2013,12/16/2013,16,0,ADD CODE REQUIRED
40909,ANTH,107,INTRO TO ARCHAEOLOGY,TTH,11:10 AM,12:35 PM,MIRA,H205,"MCKENDRICKS, B",8/19/2013,12/16/2013,16,0,ADD CODE REQUIRED
40850,ARTD,160,VECTOR ART 01: ILLUSTRATION,TTH,1:00 PM,4:10 PM,MIRA,W243,"HEFTMANN, R",8/19/2013,12/16/2013,16,7,ADD CODE REQUIRED
60239,ARTF,100,ART ORIENTATION,TBA,0:00,0:00,MIRA,WEB,"FRITSCH, R",8/19/2013,12/16/2013,16,0,ADD CODE REQUIRED
79489,ARTF,100,ART ORIENTATION,TBA,0:00,0:00,MIRA,WEB,"FRITSCH, R",8/19/2013,12/16/2013,16,0,CLOSED
51662,ARTF,100,ART ORIENTATION,TTH,8:00 AM,9:25 AM,MIRA,H102,"PECK, S",8/19/2013,12/16/2013,16,0,ADD CODE REQUIRED
62451,ARTF,100,ART ORIENTATION,TTH,11:10 AM,12:35 PM,MIRA,H102,"PECK, S",8/19/2013,12/16/2013,16,0,ADD CODE REQUIRED
75663,ARTF,107,CONTEMPORARY ART,MW,12:45 PM,2:10 PM,MIRA,H102,"HOEGER, L",8/19/2013,12/16/2013,16,0,ADD CODE REQUIRED
75647,ARTF,109,HISTORY OF MODERN ART,MW,11:10 AM,12:35 PM,MIRA,H102,"HOEGER, L",8/19/2013,12/16/2013,16,0,ADD CODE REQUIRED
67829,ARTF,110,ART HISTORY: PREHIST-GOTHIC,MW,2:20 PM,3:45 PM,MIRA,H102,"HITCHCOCK, D",8/19/2013,12/16/2013,16,0,ADD CODE REQUIRED
55410,ARTF,110,ART HISTORY: PREHIST-GOTHIC,TH,6:35 PM,9:45 PM,MIRA,H102,"HITCHCOCK, D",8/19/2013,12/16/2013,16,0,ADD CODE REQUIRED
91504,ARTF,111,ART HISTORY: RENAISS-MODERN,MW,9:35 AM,11:00 AM,MIRA,H102,"HOEGER, L",8/19/2013,12/16/2013,16,0,ADD CODE REQUIRED
57343,ARTF,111,ART HISTORY: RENAISS-MODERN,T,6:35 PM,9:45 PM,MIRA,H102,"HITCHCOCK, D",8/19/2013,12/16/2013,16,0,ADD CODE REQUIRED
83683,ARTF,150A,TWO-DIMENSIONAL DESIGN,MW,1:00 PM,4:00 PM,MIRA,H112,"MONTANO, O",8/19/2013,12/16/2013,16,0,ADD CODE REQUIRED
82051,ARTF,150B,BEGINNING GRAPHIC DESIGN,TTH,9:00 AM,12:00 PM,MIRA,W243,"HEFTMANN, R",8/19/2013,12/16/2013,16,0,ADD CODE REQUIRED
40992,ARTF,150B,BEGINNING GRAPHIC DESIGN,MW,1:00 PM,4:00 PM,MIRA,W243,"HEFTMANN, R",8/19/2013,12/16/2013,16,0,ADD CODE REQUIRED
40669,ARTF,151,THREE DIMENSIONAL DESIGN,MW,1:00 PM,4:00 PM,MIRA,H111,"COPPEDGE, D",8/19/2013,12/16/2013,16,3,ADD CODE REQUIRED
81605,ARTF,155A,FREEHAND DRAWING I,TTH,9:30 AM,12:35 PM,MIRA,H112,"FRITSCH, R",8/19/2013,12/16/2013,16,0,ADD CODE REQUIRED
97852,ARTF,155A,FREEHAND DRAWING I,MW,6:35 PM,9:35 PM,MIRA,H112,"ESPINOZA, R",8/19/2013,12/16/2013,16,0,ADD CODE REQUIRED
40674,ARTF,155B,FREEHAND DRAWING II,TTH,9:35 AM,12:35 PM,MIRA,H112,"FRITSCH, R",8/19/2013,12/16/2013,16,0,ADD CODE REQUIRED
44592,ARTF,155B,FREEHAND DRAWING II,TTH,9:35 AM,12:45 PM,MIRA,H112,STAFF,1/27/2014,5/24/2014,16,8,CANCELLED
83090,ARTF,155B,FREEHAND DRAWING II,MW,6:30 PM,9:30 PM,MIRA,H112,"ESPINOZA, R",8/19/2013,12/16/2013,16,2,ADD CODE REQUIRED
59676,ARTF,165A,COMPOSITION IN PAINTING I,TTH,1:00 PM,4:00 PM,MIRA,H112,"CLARK, N",8/19/2013,12/16/2013,16,9,ADD CODE REQUIRED
67313,ARTF,165A,COMPOSITION IN PAINTING I,TTH,6:35 PM,9:35 PM,MIRA,H112,"DAWE, S",8/19/2013,12/16/2013,16,11,ADD CODE REQUIRED
59687,ARTF,165B,COMPOSITION IN PAINTING II,TTH,1:00 PM,4:00 PM,MIRA,H112,"CLARK, N",8/19/2013,12/16/2013,16,5,ADD CODE REQUIRED
67324,ARTF,165B,COMPOSITION IN PAINTING II,TTH,6:35 PM,9:35 PM,MIRA,H112,"DAWE, S",8/19/2013,12/16/2013,16,5,ADD CODE REQUIRED
59693,ARTF,165C,COMPOSITION IN PAINTING III,TTH,1:00 PM,4:00 PM,MIRA,H112,"CLARK, N",8/19/2013,12/16/2013,16,1,ADD CODE REQUIRED
67830,ARTF,165C,COMPOSITION IN PAINTING III,TTH,6:35 PM,9:35 PM,MIRA,H112,"DAWE, S",8/19/2013,12/16/2013,16,3,ADD CODE REQUIRED
59706,ARTF,165D,COMPOSITION IN PAINTING IV,TTH,1:00 PM,4:00 PM,MIRA,H112,"CLARK, N",8/19/2013,12/16/2013,16,1,ADD CODE REQUIRED
67848,ARTF,165D,COMPOSITION IN PAINTING IV,TTH,6:35 PM,9:35 PM,MIRA,H112,"DAWE, S",8/19/2013,12/16/2013,16,4,ADD CODE REQUIRED
40640,ARTF,170A,CONTEMPORARY CRAFTS I,TTH,9:35 AM,12:40 PM,MIRA,H111,"MEDLEN, L",8/19/2013,12/16/2013,16,0,ADD CODE REQUIRED
40652,ARTF,170B,CONTEMPORARY CRAFTS II,TTH,9:35 AM,12:40 PM,MIRA,H111,"MEDLEN, L",8/19/2013,12/16/2013,16,9,ADD CODE REQUIRED
62443,ARTF,170C,CONTEMPORARY CRAFTS III,TTH,9:35 AM,12:40 PM,MIRA,H111,"MEDLEN, L",8/19/2013,12/16/2013,16,4,ADD CODE REQUIRED
68442,ARTF,195A,CERAMICS I,TTH,1:00 PM,4:00 PM,MIRA,H111,"COPPEDGE, D",8/19/2013,12/16/2013,16,0,ADD CODE REQUIRED
75620,ARTF,195A,CERAMICS I,TTH,6:30 PM,9:40 PM,MIRA,H111,"COPPEDGE, D",8/19/2013,12/16/2013,16,1,ADD CODE REQUIRED
68450,ARTF,195B,CERAMICS II,TTH,1:00 PM,4:00 PM,MIRA,H111,"COPPEDGE, D",8/19/2013,12/16/2013,16,5,ADD CODE REQUIRED
75636,ARTF,195B,CERAMICS II,TTH,6:30 PM,9:40 PM,MIRA,H111,"COPPEDGE, D",8/19/2013,12/16/2013,16,9,ADD CODE REQUIRED
52288,ARTF,195C,CERAMICS III,TTH,1:00 PM,4:00 PM,MIRA,H111,"COPPEDGE, D",8/19/2013,12/16/2013,16,2,ADD CODE REQUIRED
75654,ARTF,195C,CERAMICS III,TTH,6:30 PM,9:40 PM,MIRA,H111,"COPPEDGE, D",8/19/2013,12/16/2013,16,5,ADD CODE REQUIRED
94516,ARTF,210A,LIFE DRAWING I,MW,9:35 AM,12:40 PM,MIRA,H112,"FRITSCH, R",8/19/2013,12/16/2013,16,11,ADD CODE REQUIRED
94538,ARTF,210B,LIFE DRAWING II,MW,9:35 AM,12:35 PM,MIRA,H112,"FRITSCH, R",8/19/2013,12/16/2013,16,4,ADD CODE REQUIRED
42455,ARTF,282,OPEN STUDIO,TBA,0:00,0:00,MIRA,H112,"DAWE, S",8/19/2013,12/16/2013,16,6,ADD CODE REQUIRED
75811,ARTF,282,OPEN STUDIO,TBA,0:00,0:00,MIRA,H111,"FRITSCH, R",8/19/2013,12/16/2013,16,9,ADD CODE REQUIRED
81127,ARTF,282,OPEN STUDIO,TBA,0:00,0:00,MIRA,H111,"COPPEDGE, D",8/19/2013,12/16/2013,16,7,ADD CODE REQUIRED
69456,ARTG,106,TYPOGRAPHY,MW,9:00 AM,12:00 PM,MIRA,W243,"HEFTMANN, R",8/19/2013,12/16/2013,16,1,ADD CODE REQUIRED
58843,ASTR,101,DESCRIPTIVE ASTRONOMY,MW,9:35 AM,11:00 AM,MIRA,S5108,"KISHIMOTO, C",8/19/2013,12/16/2013,16,0,ADD CODE REQUIRED
92849,ASTR,101,DESCRIPTIVE ASTRONOMY,MW,11:10 AM,12:35 PM,MIRA,S5108,"KOCH, F",8/19/2013,12/16/2013,16,0,ADD CODE REQUIRED
75975,ASTR,101,DESCRIPTIVE ASTRONOMY,MW,5:00 PM,6:25 PM,MIRA,S5108,"KOCH, F",8/19/2013,12/16/2013,16,0,ADD CODE REQUIRED
77012,AUTO,56,ENGINE AND RELATED SYSTEMS,TTH,6:00 PM,10:00 PM,MIRA,S301,"RADER, J",8/19/2013,12/16/2013,16,0,ADD CODE REQUIRED
96782,AUTO,056T,HONDA/TOYOTA ENGINE SYSTEMS,MTWTH,8:00 AM,2:00 PM,MIRA,S305,"YOUNG, J",8/12/2013,9/21/2013,6,0,PAST ADD DATE
3215,AUTO,61,BASIC ELECTRICAL SYSTEM FUND.,MW,1:00 PM,5:00 PM,MIRA,S301,"MONROE, R",8/19/2013,12/16/2013,16,0,ADD CODE REQUIRED
8968,AUTO,61,BASIC ELECTRICAL SYSTEM FUND.,TTH,6:00 PM,10:00 PM,MIRA,S201,"WOODS, D",8/19/2013,12/16/2013,16,0,ADD CODE REQUIRED
96779,AUTO,061T,HONDA/TOYOTA BASIC ELECTRICITY,MTWTH,8:00 AM,2:00 PM,MIRA,S305,"YOUNG, J",9/23/2013,11/2/2013,6,0,CLOSED MAY WAITLIST
96798,AUTO,062T,HONDA/TOYOTA ADV ELECTRICAL,MTWTH,8:00 AM,2:00 PM,MIRA,S305,"YOUNG, J",11/4/2013,12/21/2013,6,0,CLOSED MAY WAITLIST
3221,AUTO,65,ENGINE PERFORMANCE,MW,6:00 PM,10:00 PM,MIRA,S401,"MONROE, R",8/19/2013,12/16/2013,16,7,ADD CODE REQUIRED
96744,AUTO,067T,HONDA/TOYOTA ADV ENGINE PERF,TWTH,8:00 AM,2:00 PM,MIRA,S401,"DINGER, M",10/14/2013,12/16/2013,8,2,OPEN
96757,AUTO,069T,HONDA/TOYOTA CLIMATE CNTL SYS,TWTH,8:00 AM,2:00 PM,MIRA,S401,"DINGER, M",8/19/2013,10/12/2013,8,0,PAST ADD DATE
